invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I297644,C284356,Male,68,Clothing,1,300.08,Cash,7/8/2022,Metrocity
I329560,C393457,Male,69,Shoes,1,600.17,Credit Card,24/01/2021,Metrocity
I122764,C300107,Male,29,Cosmetics,1,40.66,Credit Card,17/05/2022,Metrocity
I190674,C151003,Male,61,Clothing,3,900.24,Cash,31/05/2021,Kanyon
I218199,C566022,Male,29,Food & Beverage,3,15.69,Credit Card,7/1/2023,Metrocity
I132401,C211830,Male,28,Clothing,5,1500.4,Cash,15/11/2022,Metropol AVM
I258940,C908541,Male,54,Technology,5,5250.0,Credit Card,2/5/2021,Mall of Istanbul
I158299,C167350,Male,59,Shoes,2,1200.34,Credit Card,29/01/2023,Kanyon
I276264,C320365,Male,19,Toys,4,143.36,Credit Card,11/10/2021,Cevahir AVM
I975265,C302580,Male,44,Cosmetics,2,81.32,Credit Card,29/05/2022,Zorlu Center
I770923,C345676,Male,21,Clothing,4,1200.32,Cash,30/12/2021,Kanyon
I175657,C206366,Male,67,Clothing,5,1500.4,Cash,2/2/2021,Metropol AVM
I109674,C161650,Male,40,Technology,1,1050.0,Debit Card,18/01/2023,Metrocity
I324740,C580162,Male,27,Clothing,5,1500.4,Credit Card,4/1/2023,Istinye Park
I638469,C118774,Male,24,Food & Beverage,4,20.92,Debit Card,11/12/2022,Emaar Square Mall
I302270,C188082,Male,44,Souvenir,3,35.19,Credit Card,26/02/2023,Metrocity
I970842,C221362,Male,19,Toys,1,35.84,Cash,12/8/2022,Viaport Outlet
I217670,C294283,Male,69,Clothing,1,300.08,Cash,27/01/2023,Istinye Park
I208693,C351235,Male,45,Souvenir,4,46.92,Debit Card,7/10/2021,Metropol AVM
I171642,C865557,Male,43,Food & Beverage,1,5.23,Cash,30/03/2021,Mall of Istanbul
I695570,C128026,Male,33,Shoes,3,1800.51,Debit Card,14/08/2022,Zorlu Center
I177425,C240455,Male,67,Technology,1,1050.0,Credit Card,7/12/2021,Metropol AVM
I237516,C116860,Male,50,Technology,2,2100.0,Cash,22/01/2021,Viaport Outlet
I310568,C102358,Male,43,Toys,1,35.84,Cash,29/01/2021,Forum Istanbul
I165877,C120609,Male,49,Food & Beverage,5,26.15,Cash,17/05/2021,Kanyon
I973888,C277252,Male,31,Clothing,5,1500.4,Credit Card,22/08/2022,Metropol AVM
I326776,C286688,Male,64,Clothing,1,300.08,Cash,19/12/2022,Forum Istanbul
I763557,C300967,Male,25,Shoes,4,2400.68,Credit Card,3/10/2021,Metrocity
I104073,C321503,Male,19,Clothing,4,1200.32,Debit Card,24/10/2022,Emaar Square Mall
I204081,C298267,Male,65,Shoes,4,2400.68,Cash,24/05/2022,Zorlu Center
I314221,C266575,Male,43,Food & Beverage,3,15.69,Cash,18/06/2022,Zorlu Center
I303823,C206544,Male,54,Technology,3,3150.0,Debit Card,21/05/2021,Metropol AVM
I424246,C211985,Male,43,Shoes,3,1800.51,Credit Card,14/08/2022,Kanyon
I264714,C321728,Male,43,Toys,5,179.2,Cash,8/5/2022,Emaar Square Mall
I142946,C279826,Male,19,Toys,1,35.84,Cash,19/10/2021,Metrocity
I337859,C134638,Male,60,Clothing,5,1500.4,Cash,22/12/2021,Kanyon
I275176,C856835,Male,66,Clothing,2,600.16,Cash,6/7/2022,Metrocity
I269510,C132791,Male,57,Clothing,3,900.24,Credit Card,11/10/2022,Forum Istanbul
I589740,C265058,Male,60,Cosmetics,3,121.98,Debit Card,29/03/2021,Cevahir AVM
I330087,C248126,Male,51,Toys,4,143.36,Credit Card,22/03/2022,Metrocity
I229948,C208816,Male,66,Shoes,5,3000.85,Cash,11/11/2021,Kanyon
I272018,C141803,Male,51,Shoes,2,1200.34,Credit Card,14/05/2021,Metrocity
I187043,C235460,Male,53,Food & Beverage,2,10.46,Debit Card,7/7/2022,Mall of Istanbul
I209082,C173908,Male,67,Clothing,3,900.24,Credit Card,30/06/2022,Metrocity
I124800,C176944,Male,61,Clothing,5,1500.4,Cash,18/03/2021,Forum Istanbul
I363918,C552703,Male,57,Shoes,3,1800.51,Cash,14/06/2022,Mall of Istanbul
I982519,C993074,Male,44,Toys,5,179.2,Debit Card,3/1/2022,Metropol AVM
I968014,C122757,Male,42,Clothing,4,1200.32,Credit Card,8/11/2021,Kanyon
I253997,C118122,Male,59,Clothing,4,1200.32,Debit Card,31/05/2022,Kanyon
I603368,C204456,Male,62,Clothing,4,1200.32,Cash,6/11/2022,Metropol AVM
I242386,C314214,Male,46,Clothing,5,1500.4,Cash,25/12/2022,Metrocity
I141311,C444548,Male,63,Clothing,3,900.24,Debit Card,2/2/2022,Mall of Istanbul
I162302,C104706,Male,47,Clothing,5,1500.4,Credit Card,13/02/2021,Metropol AVM
I225175,C227569,Male,61,Clothing,3,900.24,Debit Card,4/4/2022,Kanyon
I135651,C131052,Male,41,Technology,3,3150.0,Credit Card,5/8/2022,Emaar Square Mall
I329870,C141507,Male,66,Food & Beverage,4,20.92,Debit Card,1/11/2022,Metropol AVM
I114509,C713134,Male,21,Cosmetics,1,40.66,Debit Card,2/3/2023,Istinye Park
I765202,C188568,Male,23,Clothing,2,600.16,Credit Card,9/2/2023,Kanyon
I419395,C166032,Male,26,Clothing,3,900.24,Cash,7/12/2021,Mall of Istanbul
I147004,C284468,Male,22,Books,5,75.75,Cash,4/7/2022,Zorlu Center
I117471,C365580,Male,58,Toys,3,107.52,Cash,23/03/2021,Istinye Park
I166960,C308958,Male,38,Clothing,5,1500.4,Cash,18/05/2022,Metrocity
I453444,C494391,Male,59,Clothing,3,900.24,Cash,19/02/2021,Cevahir AVM
I185903,C183219,Male,63,Clothing,3,900.24,Cash,13/02/2023,Metropol AVM
I143083,C208096,Male,29,Shoes,5,3000.85,Debit Card,14/09/2022,Zorlu Center
I131294,C105503,Male,46,Cosmetics,4,162.64,Credit Card,25/09/2021,Metrocity
I806844,C191801,Male,59,Toys,1,35.84,Credit Card,5/9/2021,Istinye Park
I110417,C130571,Male,19,Cosmetics,2,81.32,Credit Card,26/06/2021,Metrocity
I223801,C231599,Male,45,Shoes,5,3000.85,Cash,1/12/2021,Metrocity
I153621,C483821,Male,47,Clothing,1,300.08,Cash,24/08/2021,Zorlu Center
I177092,C279806,Male,37,Clothing,3,900.24,Debit Card,1/10/2021,Zorlu Center
I295487,C291925,Male,38,Food & Beverage,4,20.92,Cash,18/12/2022,Forum Istanbul
I202306,C166014,Male,22,Toys,1,35.84,Credit Card,12/2/2023,Metrocity
I217444,C226873,Male,42,Clothing,4,1200.32,Credit Card,22/01/2023,Kanyon
I119087,C100849,Male,27,Clothing,1,300.08,Credit Card,15/12/2022,Cevahir AVM
I106707,C224400,Male,43,Toys,2,71.68,Credit Card,29/12/2022,Kanyon
I245772,C521636,Male,61,Cosmetics,3,121.98,Credit Card,19/01/2021,Istinye Park
I163688,C321304,Male,50,Clothing,5,1500.4,Debit Card,9/7/2021,Cevahir AVM
I268225,C369978,Male,38,Cosmetics,1,40.66,Cash,23/08/2021,Cevahir AVM
I178853,C161266,Male,25,Clothing,3,900.24,Debit Card,19/10/2021,Metropol AVM
I175551,C962433,Male,57,Books,3,45.45,Cash,6/10/2021,Metropol AVM
I290532,C121436,Male,53,Food & Beverage,1,5.23,Credit Card,16/02/2023,Metrocity
I240272,C327416,Male,18,Shoes,3,1800.51,Cash,25/10/2022,Kanyon
I156685,C100857,Male,67,Shoes,4,2400.68,Debit Card,23/06/2022,Forum Istanbul
I687380,C167973,Male,29,Cosmetics,1,40.66,Credit Card,24/08/2022,Emaar Square Mall
I279340,C230675,Male,52,Clothing,3,900.24,Cash,10/12/2022,Metropol AVM
I140639,C224235,Male,43,Souvenir,1,11.73,Credit Card,21/12/2022,Metrocity
I262019,C319599,Male,54,Clothing,5,1500.4,Credit Card,19/03/2022,Mall of Istanbul
I112765,C788330,Male,61,Clothing,1,300.08,Cash,11/8/2021,Mall of Istanbul
I191854,C192369,Male,65,Shoes,5,3000.85,Credit Card,21/10/2022,Kanyon
I280662,C196409,Male,46,Shoes,5,3000.85,Debit Card,11/1/2022,Metrocity
I905445,C233240,Male,44,Cosmetics,4,162.64,Credit Card,25/01/2023,Metrocity
I258068,C943914,Male,60,Food & Beverage,2,10.46,Debit Card,28/02/2022,Kanyon
I244692,C332082,Male,25,Food & Beverage,1,5.23,Credit Card,21/01/2023,Metrocity
I108766,C222523,Male,25,Clothing,5,1500.4,Cash,25/02/2022,Kanyon
I286299,C216712,Male,63,Shoes,3,1800.51,Debit Card,4/11/2022,Mall of Istanbul
I276309,C420627,Male,28,Clothing,5,1500.4,Debit Card,28/11/2022,Mall of Istanbul
I138006,C334580,Male,57,Clothing,2,600.16,Cash,14/06/2021,Metropol AVM
I335809,C987971,Male,32,Toys,2,71.68,Credit Card,9/8/2021,Mall of Istanbul
I431541,C154952,Male,63,Clothing,1,300.08,Credit Card,1/7/2021,Metrocity
I142239,C159128,Male,64,Clothing,3,900.24,Cash,25/05/2021,Zorlu Center
I205379,C487134,Male,50,Shoes,3,1800.51,Credit Card,29/08/2022,Forum Istanbul
I116254,C187135,Male,19,Cosmetics,1,40.66,Debit Card,10/2/2023,Mall of Istanbul
I160354,C158564,Male,21,Shoes,2,1200.34,Cash,2/1/2021,Mall of Istanbul
I141722,C276782,Male,48,Technology,5,5250.0,Credit Card,6/10/2022,Istinye Park
I164299,C282639,Male,44,Clothing,4,1200.32,Cash,25/01/2022,Kanyon
I217474,C260031,Male,25,Shoes,3,1800.51,Cash,29/07/2021,Mall of Istanbul
I108922,C118100,Male,69,Cosmetics,2,81.32,Cash,12/9/2021,Forum Istanbul
I213069,C546912,Male,38,Clothing,3,900.24,Debit Card,10/2/2023,Emaar Square Mall
I424955,C265923,Male,22,Books,5,75.75,Cash,2/10/2021,Kanyon
I105302,C708575,Male,64,Clothing,1,300.08,Credit Card,23/12/2022,Emaar Square Mall
I128978,C238584,Male,58,Clothing,5,1500.4,Credit Card,22/09/2022,Istinye Park
I278609,C923894,Male,57,Food & Beverage,5,26.15,Cash,18/05/2022,Metropol AVM
I160172,C113167,Male,38,Souvenir,4,46.92,Credit Card,29/09/2021,Istinye Park
I138114,C287147,Male,27,Shoes,5,3000.85,Cash,5/2/2023,Zorlu Center
I256910,C266197,Male,38,Clothing,1,300.08,Cash,27/05/2021,Viaport Outlet
I348148,C159517,Male,32,Clothing,1,300.08,Debit Card,21/08/2022,Metrocity
I300177,C311786,Male,26,Cosmetics,3,121.98,Cash,11/11/2021,Emaar Square Mall
I768936,C150801,Male,23,Clothing,3,900.24,Cash,21/03/2022,Istinye Park
I807392,C699791,Male,27,Shoes,2,1200.34,Debit Card,19/08/2022,Kanyon
I136558,C129085,Male,36,Clothing,3,900.24,Credit Card,2/12/2022,Metropol AVM
I419366,C837690,Male,29,Food & Beverage,4,20.92,Debit Card,3/7/2022,Metropol AVM
I252607,C288702,Male,67,Clothing,5,1500.4,Credit Card,24/06/2021,Istinye Park
I721472,C298077,Male,56,Clothing,3,900.24,Debit Card,3/11/2021,Mall of Istanbul
I772542,C531846,Male,66,Cosmetics,3,121.98,Cash,1/2/2021,Kanyon
I311841,C309121,Male,61,Cosmetics,5,203.3,Credit Card,20/05/2022,Mall of Istanbul
I347594,C354712,Male,51,Clothing,3,900.24,Debit Card,10/7/2022,Kanyon
I289794,C196601,Male,48,Clothing,4,1200.32,Cash,12/2/2023,Istinye Park
I150723,C265926,Male,23,Clothing,2,600.16,Cash,29/07/2022,Istinye Park
I193738,C194523,Male,53,Clothing,5,1500.4,Cash,4/10/2021,Emaar Square Mall
I119447,C294911,Male,61,Books,3,45.45,Cash,8/9/2022,Metropol AVM
I112978,C329417,Male,49,Cosmetics,2,81.32,Debit Card,24/05/2021,Kanyon
I813192,C229210,Male,55,Toys,4,143.36,Credit Card,23/03/2021,Mall of Istanbul
I259594,C753411,Male,37,Cosmetics,4,162.64,Credit Card,24/03/2022,Metrocity
I318725,C189302,Male,19,Food & Beverage,3,15.69,Debit Card,6/3/2022,Zorlu Center
I300921,C190675,Male,28,Clothing,1,300.08,Cash,27/08/2021,Mall of Istanbul
I198569,C255093,Male,42,Clothing,1,300.08,Cash,19/09/2022,Kanyon
I314309,C205372,Male,36,Cosmetics,1,40.66,Cash,29/06/2022,Mall of Istanbul
I956442,C714782,Male,19,Cosmetics,2,81.32,Cash,23/09/2021,Kanyon
I150806,C321243,Male,37,Books,4,60.6,Credit Card,29/01/2023,Cevahir AVM
I283289,C247826,Male,38,Souvenir,2,23.46,Cash,20/08/2022,Forum Istanbul
I352349,C800227,Male,68,Technology,4,4200.0,Cash,19/12/2021,Kanyon
I114895,C306284,Male,58,Cosmetics,4,162.64,Credit Card,22/01/2021,Metrocity
I103337,C148096,Male,28,Cosmetics,3,121.98,Cash,6/12/2022,Kanyon
I127696,C136221,Male,30,Toys,5,179.2,Cash,4/11/2021,Metrocity
I260374,C264985,Male,25,Clothing,4,1200.32,Credit Card,4/1/2023,Metrocity
I886342,C316713,Male,33,Food & Beverage,5,26.15,Debit Card,7/12/2022,Emaar Square Mall
I313134,C214118,Male,45,Clothing,4,1200.32,Credit Card,11/3/2022,Kanyon
I156466,C332470,Male,57,Clothing,5,1500.4,Cash,17/07/2021,Mall of Istanbul
I222452,C182415,Male,37,Toys,5,179.2,Credit Card,29/04/2022,Forum Istanbul
I293637,C159253,Male,41,Shoes,2,1200.34,Cash,7/4/2021,Metropol AVM
I140911,C154161,Male,61,Food & Beverage,5,26.15,Debit Card,15/08/2022,Mall of Istanbul
I497400,C950680,Male,64,Clothing,4,1200.32,Cash,16/11/2022,Metrocity
I241286,C900101,Male,35,Clothing,5,1500.4,Cash,8/2/2023,Kanyon
I240036,C301218,Male,32,Technology,3,3150.0,Debit Card,24/12/2021,Kanyon
I289423,C168138,Male,37,Clothing,4,1200.32,Debit Card,11/2/2022,Mall of Istanbul
I220246,C296552,Male,52,Clothing,2,600.16,Credit Card,14/09/2022,Istinye Park
I406740,C109573,Male,21,Food & Beverage,4,20.92,Credit Card,10/2/2022,Metrocity
I105074,C211131,Male,68,Cosmetics,3,121.98,Cash,19/02/2021,Metropol AVM
I201576,C346646,Male,48,Clothing,3,900.24,Cash,31/03/2022,Kanyon
I131894,C172078,Male,28,Clothing,1,300.08,Debit Card,9/2/2022,Kanyon
I223147,C460740,Male,40,Clothing,5,1500.4,Credit Card,22/07/2022,Mall of Istanbul
I135022,C772753,Male,40,Souvenir,4,46.92,Cash,24/03/2021,Mall of Istanbul
I694553,C177701,Male,43,Cosmetics,5,203.3,Debit Card,11/8/2021,Kanyon
I140671,C210080,Male,34,Technology,3,3150.0,Cash,1/8/2021,Metrocity
I205659,C560651,Male,52,Clothing,3,900.24,Credit Card,9/6/2021,Kanyon
I670137,C164416,Male,51,Clothing,5,1500.4,Debit Card,21/03/2021,Metrocity
I308136,C228681,Male,68,Clothing,4,1200.32,Debit Card,10/7/2021,Metropol AVM
I258733,C186535,Male,19,Food & Beverage,3,15.69,Debit Card,24/03/2022,Mall of Istanbul
I193448,C221495,Male,29,Shoes,2,1200.34,Credit Card,3/6/2022,Viaport Outlet
I181230,C218381,Male,51,Books,2,30.3,Credit Card,24/08/2021,Metrocity
I325242,C165072,Male,56,Shoes,2,1200.34,Debit Card,22/04/2021,Mall of Istanbul
I296320,C158898,Male,69,Shoes,1,600.17,Cash,7/11/2021,Metropol AVM
I172651,C702850,Male,25,Clothing,4,1200.32,Cash,10/2/2023,Zorlu Center
I145458,C169182,Male,30,Cosmetics,4,162.64,Cash,12/12/2022,Metrocity
I201694,C333405,Male,39,Food & Beverage,2,10.46,Credit Card,28/11/2022,Emaar Square Mall
I614485,C138799,Male,43,Clothing,4,1200.32,Cash,26/05/2021,Forum Istanbul
I240172,C898240,Male,47,Clothing,5,1500.4,Cash,3/1/2023,Metropol AVM
I244526,C335554,Male,29,Shoes,3,1800.51,Cash,22/10/2022,Metropol AVM
I319263,C301114,Male,62,Clothing,5,1500.4,Cash,13/08/2022,Istinye Park
I235813,C329878,Male,61,Food & Beverage,5,26.15,Cash,27/01/2023,Istinye Park
I281078,C512814,Male,55,Cosmetics,4,162.64,Credit Card,28/04/2021,Metrocity
I150868,C302989,Male,25,Toys,4,143.36,Credit Card,3/7/2022,Istinye Park
I441241,C536907,Male,32,Toys,1,35.84,Credit Card,27/10/2022,Mall of Istanbul
I150960,C133610,Male,24,Toys,4,143.36,Debit Card,24/06/2021,Kanyon
I219145,C335609,Male,42,Clothing,4,1200.32,Credit Card,18/10/2021,Mall of Istanbul
I166846,C190404,Male,37,Food & Beverage,3,15.69,Cash,23/09/2022,Zorlu Center
I123265,C205945,Male,68,Clothing,3,900.24,Cash,26/04/2021,Kanyon
I146730,C107899,Male,32,Toys,4,143.36,Debit Card,7/10/2022,Kanyon
I518762,C282408,Male,46,Clothing,1,300.08,Cash,23/07/2022,Metropol AVM
I244088,C334915,Male,29,Clothing,1,300.08,Credit Card,8/10/2021,Istinye Park
I100998,C253884,Male,24,Toys,3,107.52,Debit Card,10/9/2021,Kanyon
I875254,C110596,Male,22,Technology,2,2100.0,Cash,23/02/2021,Mall of Istanbul
I850634,C292155,Male,37,Cosmetics,2,81.32,Cash,24/04/2022,Kanyon
I208687,C273429,Male,63,Food & Beverage,1,5.23,Cash,30/12/2021,Metrocity
I106320,C210127,Male,49,Books,3,45.45,Credit Card,16/07/2022,Kanyon
I800793,C172687,Male,63,Clothing,5,1500.4,Credit Card,2/10/2022,Kanyon
I684055,C424137,Male,50,Clothing,4,1200.32,Credit Card,18/11/2021,Mall of Istanbul
I276999,C231141,Male,61,Shoes,2,1200.34,Cash,11/10/2021,Emaar Square Mall
I224589,C947597,Male,30,Food & Beverage,1,5.23,Cash,20/02/2022,Metropol AVM
I687773,C270512,Male,37,Clothing,1,300.08,Debit Card,9/7/2021,Kanyon
I171024,C436690,Male,53,Cosmetics,3,121.98,Credit Card,22/05/2022,Kanyon
I522274,C124527,Male,29,Shoes,1,600.17,Cash,25/05/2022,Metrocity
I207984,C222363,Male,46,Cosmetics,5,203.3,Credit Card,16/11/2021,Mall of Istanbul
I195435,C508416,Male,60,Cosmetics,2,81.32,Cash,29/03/2021,Metrocity
I314581,C100311,Male,66,Cosmetics,4,162.64,Debit Card,1/9/2022,Kanyon
I538537,C232557,Male,55,Cosmetics,1,40.66,Credit Card,9/4/2022,Forum Istanbul
I226316,C207472,Male,19,Clothing,3,900.24,Cash,19/11/2021,Forum Istanbul
I157602,C383197,Male,68,Food & Beverage,3,15.69,Cash,19/04/2021,Kanyon
I325678,C796373,Male,26,Toys,3,107.52,Debit Card,14/09/2021,Cevahir AVM
I232087,C278274,Male,22,Books,2,30.3,Cash,13/01/2022,Metrocity
I198715,C276423,Male,61,Souvenir,1,11.73,Debit Card,17/01/2021,Emaar Square Mall
I223342,C174948,Male,41,Clothing,5,1500.4,Cash,4/8/2022,Kanyon
I217319,C317127,Male,41,Food & Beverage,3,15.69,Cash,8/3/2021,Mall of Istanbul
I309886,C872252,Male,65,Food & Beverage,2,10.46,Cash,20/06/2022,Kanyon
I978833,C297437,Male,47,Clothing,4,1200.32,Credit Card,30/03/2021,Metrocity
I329413,C286239,Male,49,Food & Beverage,2,10.46,Debit Card,7/10/2022,Kanyon
I256687,C102313,Male,22,Cosmetics,2,81.32,Debit Card,9/11/2021,Kanyon
I305229,C211824,Male,62,Food & Beverage,5,26.15,Credit Card,22/03/2022,Zorlu Center
I889159,C332422,Male,40,Souvenir,5,58.65,Credit Card,3/10/2022,Metropol AVM
I311798,C884825,Male,31,Souvenir,5,58.65,Cash,2/4/2022,Mall of Istanbul
I331695,C120227,Male,38,Technology,4,4200.0,Credit Card,25/09/2021,Viaport Outlet
I150569,C184376,Male,42,Clothing,3,900.24,Cash,7/6/2022,Mall of Istanbul
I311496,C567614,Male,61,Clothing,3,900.24,Credit Card,19/03/2021,Metrocity
I110443,C364828,Male,30,Shoes,2,1200.34,Cash,15/12/2022,Metropol AVM
I603101,C212899,Male,28,Cosmetics,5,203.3,Credit Card,29/08/2021,Mall of Istanbul
I287941,C178688,Male,59,Cosmetics,4,162.64,Cash,2/12/2022,Metropol AVM
I186816,C313860,Male,19,Souvenir,1,11.73,Credit Card,15/03/2021,Forum Istanbul
I160637,C150984,Male,23,Clothing,2,600.16,Credit Card,22/02/2022,Istinye Park
I541892,C372248,Male,67,Food & Beverage,2,10.46,Credit Card,5/12/2021,Metrocity
I131224,C111267,Male,23,Shoes,3,1800.51,Credit Card,24/01/2023,Kanyon
I326046,C324270,Male,56,Clothing,4,1200.32,Credit Card,2/6/2022,Viaport Outlet
I236915,C319604,Male,41,Clothing,1,300.08,Cash,23/10/2022,Zorlu Center
I127892,C245372,Male,48,Toys,3,107.52,Debit Card,31/07/2022,Metropol AVM
I109978,C229154,Male,45,Cosmetics,4,162.64,Credit Card,29/01/2023,Metrocity
I165570,C192208,Male,32,Cosmetics,4,162.64,Cash,13/04/2021,Mall of Istanbul
I173413,C292854,Male,38,Clothing,2,600.16,Debit Card,16/07/2021,Istinye Park
I127629,C280687,Male,61,Cosmetics,4,162.64,Cash,17/07/2022,Kanyon
I143928,C214825,Male,57,Clothing,2,600.16,Credit Card,8/5/2021,Mall of Istanbul
I218308,C169186,Male,52,Books,5,75.75,Cash,30/01/2022,Mall of Istanbul
I108426,C293128,Male,54,Toys,2,71.68,Cash,6/12/2021,Viaport Outlet
I214864,C309666,Male,30,Clothing,1,300.08,Credit Card,9/1/2023,Metrocity
I145852,C120434,Male,61,Books,1,15.15,Cash,7/3/2021,Metrocity
I630476,C259770,Male,66,Food & Beverage,1,5.23,Credit Card,8/5/2021,Zorlu Center
I726441,C143021,Male,69,Technology,4,4200.0,Credit Card,22/10/2022,Forum Istanbul
I102487,C104393,Male,35,Clothing,1,300.08,Credit Card,3/2/2021,Kanyon
I184404,C995810,Male,40,Food & Beverage,2,10.46,Cash,23/09/2022,Metropol AVM
I252289,C294263,Male,21,Cosmetics,2,81.32,Credit Card,17/04/2022,Kanyon
I311240,C162353,Male,42,Books,5,75.75,Debit Card,20/01/2021,Kanyon
I125110,C269641,Male,62,Food & Beverage,2,10.46,Credit Card,10/1/2022,Metropol AVM
I273970,C787550,Male,59,Souvenir,5,58.65,Credit Card,30/10/2021,Kanyon
I162108,C931031,Male,67,Clothing,2,600.16,Debit Card,26/02/2023,Viaport Outlet
I753047,C146816,Male,59,Clothing,3,900.24,Debit Card,1/3/2023,Forum Istanbul
I532728,C165001,Male,52,Souvenir,3,35.19,Cash,28/01/2021,Metropol AVM
I278886,C110771,Male,22,Clothing,5,1500.4,Cash,6/7/2021,Mall of Istanbul
I307595,C231190,Male,39,Cosmetics,1,40.66,Cash,13/05/2022,Kanyon
I494336,C185432,Male,18,Souvenir,4,46.92,Credit Card,6/1/2021,Kanyon
I853460,C733652,Male,52,Clothing,5,1500.4,Credit Card,21/02/2023,Mall of Istanbul
I725667,C134834,Male,32,Souvenir,5,58.65,Debit Card,17/02/2023,Mall of Istanbul
I574485,C115556,Male,31,Technology,2,2100.0,Cash,19/04/2021,Istinye Park
I157010,C213021,Male,41,Clothing,5,1500.4,Credit Card,18/11/2022,Zorlu Center
I324564,C222326,Male,21,Clothing,2,600.16,Credit Card,4/5/2022,Mall of Istanbul
I285914,C272649,Male,41,Clothing,5,1500.4,Cash,18/04/2021,Metropol AVM
I318018,C241956,Male,32,Food & Beverage,1,5.23,Cash,10/8/2021,Mall of Istanbul
I339499,C200579,Male,40,Shoes,4,2400.68,Debit Card,23/10/2022,Metropol AVM
I393547,C193566,Male,51,Shoes,1,600.17,Cash,4/3/2021,Kanyon
I116947,C473579,Male,24,Toys,2,71.68,Cash,7/8/2022,Kanyon
I406641,C218503,Male,48,Clothing,2,600.16,Credit Card,23/04/2022,Metrocity
I875124,C814178,Male,32,Clothing,3,900.24,Cash,31/07/2022,Forum Istanbul
I301497,C346094,Male,59,Clothing,4,1200.32,Credit Card,27/10/2021,Mall of Istanbul
I243757,C201957,Male,50,Clothing,4,1200.32,Credit Card,20/07/2021,Mall of Istanbul
I293751,C747621,Male,62,Cosmetics,5,203.3,Cash,27/03/2021,Mall of Istanbul
I249339,C109355,Male,58,Shoes,3,1800.51,Credit Card,7/6/2021,Zorlu Center
I746159,C213128,Male,22,Books,2,30.3,Credit Card,3/11/2021,Metrocity
I967393,C669670,Male,52,Clothing,5,1500.4,Cash,24/02/2022,Viaport Outlet
I674343,C195213,Male,55,Toys,3,107.52,Credit Card,19/01/2022,Metrocity
I314446,C103185,Male,20,Technology,2,2100.0,Debit Card,22/09/2022,Metropol AVM
I110979,C287245,Male,28,Technology,4,4200.0,Cash,15/01/2021,Mall of Istanbul
I106708,C147011,Male,34,Clothing,5,1500.4,Credit Card,26/11/2021,Mall of Istanbul
I244810,C337814,Male,56,Toys,3,107.52,Credit Card,2/1/2022,Kanyon
I183705,C234883,Male,67,Clothing,4,1200.32,Cash,27/04/2021,Cevahir AVM
I331241,C822647,Male,52,Food & Beverage,5,26.15,Debit Card,28/12/2021,Metrocity
I244557,C139569,Male,31,Shoes,1,600.17,Cash,29/03/2022,Kanyon
I275723,C913329,Male,47,Clothing,4,1200.32,Cash,22/07/2021,Emaar Square Mall
I272883,C186582,Male,25,Food & Beverage,1,5.23,Credit Card,19/02/2023,Mall of Istanbul
I808767,C232418,Male,66,Cosmetics,3,121.98,Credit Card,22/02/2023,Istinye Park
I318177,C109931,Male,45,Shoes,1,600.17,Cash,2/4/2022,Mall of Istanbul
I250844,C464203,Male,49,Books,3,45.45,Credit Card,20/12/2022,Cevahir AVM
I100618,C911820,Male,23,Books,2,30.3,Credit Card,4/3/2021,Metrocity
I221202,C325800,Male,57,Food & Beverage,4,20.92,Cash,4/1/2023,Istinye Park
I329176,C151315,Male,33,Technology,1,1050.0,Debit Card,5/12/2022,Metrocity
I366954,C305264,Male,39,Books,5,75.75,Credit Card,28/09/2021,Forum Istanbul
I403568,C371493,Male,59,Toys,3,107.52,Cash,28/06/2021,Istinye Park
I192356,C191914,Male,20,Food & Beverage,2,10.46,Cash,25/09/2021,Zorlu Center
I125191,C315582,Male,61,Cosmetics,3,121.98,Cash,19/12/2021,Mall of Istanbul
I321900,C157135,Male,22,Toys,4,143.36,Credit Card,3/2/2023,Zorlu Center
I269411,C254476,Male,29,Cosmetics,5,203.3,Cash,14/11/2022,Istinye Park
I257766,C251970,Male,33,Shoes,4,2400.68,Debit Card,21/02/2022,Emaar Square Mall
I214609,C112724,Male,58,Food & Beverage,5,26.15,Cash,6/12/2021,Kanyon
I934531,C255808,Male,29,Food & Beverage,1,5.23,Cash,7/5/2021,Cevahir AVM
I183966,C260038,Male,33,Books,1,15.15,Debit Card,27/11/2021,Kanyon
I213240,C688854,Male,24,Souvenir,1,11.73,Credit Card,23/04/2021,Metropol AVM
I159407,C145907,Male,32,Cosmetics,1,40.66,Credit Card,1/7/2022,Emaar Square Mall
I577781,C180514,Male,18,Cosmetics,4,162.64,Cash,14/03/2022,Istinye Park
I239380,C267802,Male,58,Toys,3,107.52,Cash,12/7/2021,Mall of Istanbul
I255144,C207985,Male,68,Clothing,4,1200.32,Credit Card,25/04/2021,Emaar Square Mall
I325355,C888576,Male,32,Toys,5,179.2,Credit Card,1/5/2021,Istinye Park
I461775,C495615,Male,23,Food & Beverage,3,15.69,Debit Card,9/2/2023,Mall of Istanbul
I121810,C503270,Male,62,Food & Beverage,5,26.15,Debit Card,25/01/2023,Kanyon
I366032,C870383,Male,65,Shoes,2,1200.34,Credit Card,7/2/2022,Zorlu Center
I167437,C348239,Male,54,Cosmetics,1,40.66,Debit Card,10/6/2021,Kanyon
I216341,C153323,Male,25,Food & Beverage,1,5.23,Cash,19/08/2022,Metrocity
